1,0,27,40
1,1,27,37
1,2,28,35
1,3,28,34
1,4,26,34
1,5,27,37
1,6,30,50
1,7,32,51
1,8,31,50
1,9,31,52
1,10,33,59
1,11,35,61
1,12,34,60
1,13,34,60
1,14,36,67
1,15,37,68
1,16,38,78
1,17,42,82
1,18,39,72
1,19,35,61
1,20,32,54
1,21,31,49
1,22,29,47
1,23,28,43
2,0,27,39
2,1,27,37
2,2,27,35
2,3,27,34
2,4,27,35
2,5,27,36
2,6,30,50
2,7,31,51
2,8,31,52
2,9,31,52
2,10,33,56
2,11,34,58
2,12,34,58
2,13,34,61
2,14,37,68
2,15,37,69
2,16,39,78
2,17,42,84
2,18,40,72
2,19,36,64
2,20,33,56
2,21,32,51
2,22,30,47
2,23,28,43
3,0,27,39
3,1,28,37
3,2,28,35
3,3,27,34
3,4,27,35
3,5,27,37
3,6,30,51
3,7,31,51
3,8,32,54
3,9,32,54
3,10,34,60
3,11,34,61
3,12,34,60
3,13,36,64
3,14,39,75
3,15,40,76
3,16,42,83
3,17,44,88
3,18,41,75
3,19,37,64
3,20,34,55
3,21,33,54
3,22,30,47
3,23,28,42
4,0,27,40
4,1,27,40
4,2,27,35
4,3,28,35
4,4,27,35
4,5,27,36
4,6,31,50
4,7,32,53
4,8,32,52
4,9,33,55
4,10,34,60
4,11,35,63
4,12,35,64
4,13,36,66
4,14,38,75
4,15,39,76
4,16,40,81
4,17,43,85
4,18,39,72
4,19,37,63
4,20,34,57
4,21,33,53
4,22,31,49
4,23,28,43
5,0,27,39
5,1,27,38
5,2,28,36
5,3,27,35
5,4,27,35
5,5,27,36
5,6,29,50
5,7,31,51
5,8,32,53
5,9,32,54
5,10,34,60
5,11,35,64
5,12,31,53
5,13,36,63
5,14,40,79
5,15,41,82
5,16,42,86
5,17,45,91
5,18,42,80
5,19,40,73
5,20,37,66
5,21,36,63
5,22,33,56
5,23,29,46
6,0,28,41
6,1,27,40
6,2,27,39
6,3,27,37
6,4,27,38
6,5,27,40
6,6,28,42
6,7,29,46
6,8,31,50
6,9,32,53
6,10,34,59
6,11,37,64
6,12,37,71
6,13,39,78
6,14,41,82
6,15,41,76
6,16,39,72
6,17,39,73
6,18,39,70
6,19,40,72
6,20,43,79
6,21,42,77
6,22,39,68
6,23,33,55
7,0,28,44
7,1,27,40
7,2,27,38
7,3,28,38
7,4,27,37
7,5,28,37
7,6,28,42
7,7,30,47
7,8,32,55
7,9,34,59
7,10,37,69
7,11,39,76
7,12,41,82
7,13,43,85
7,14,42,79
7,15,39,68
7,16,38,67
7,17,39,68
7,18,38,67
7,19,38,65
7,20,37,62
7,21,35,58
7,22,31,49
7,23,28,42
