1,0,31,27
1,1,31,27
1,2,30,28
1,3,30,28
1,4,29,26
1,5,31,27
1,6,37,30
1,7,38,32
1,8,37,31
1,9,38,31
1,10,41,33
1,11,43,35
1,12,42,34
1,13,42,34
1,14,45,36
1,15,47,37
1,16,50,38
1,17,54,42
1,18,49,39
1,19,42,35
1,20,39,32
1,21,37,31
1,22,35,29
1,23,33,28
2,0,31,27
2,1,30,27
2,2,30,27
2,3,30,27
2,4,30,27
2,5,31,27
2,6,37,30
2,7,37,31
2,8,37,31
2,9,38,31
2,10,40,33
2,11,41,34
2,12,42,34
2,13,43,34
2,14,46,37
2,15,47,37
2,16,50,39
2,17,54,42
2,18,49,40
2,19,45,36
2,20,40,33
2,21,38,32
2,22,35,30
2,23,33,28
3,0,31,27
3,1,31,28
3,2,31,28
3,3,30,27
3,4,30,27
3,5,31,27
3,6,37,30
3,7,38,31
3,8,38,32
3,9,39,32
3,10,41,34
3,11,43,34
3,12,41,34
3,13,44,36
3,14,48,39
3,15,51,40
3,16,53,42
3,17,56,44
3,18,51,41
3,19,45,37
3,20,40,34
3,21,39,33
3,22,36,30
3,23,33,28
4,0,31,27
4,1,31,27
4,2,30,27
4,3,30,28
4,4,30,27
4,5,31,27
4,6,37,31
4,7,38,32
4,8,38,32
4,9,40,33
4,10,42,34
4,11,43,35
4,12,44,35
4,13,45,36
4,14,49,38
4,15,49,39
4,16,51,40
4,17,56,43
4,18,49,39
4,19,45,37
4,20,41,34
4,21,39,33
4,22,36,31
4,23,33,28
5,0,31,27
5,1,31,27
5,2,30,28
5,3,30,27
5,4,30,27
5,5,31,27
5,6,36,29
5,7,37,31
5,8,38,32
5,9,38,32
5,10,42,34
5,11,45,35
5,12,38,31
5,13,44,36
5,14,51,40
5,15,52,41
5,16,54,42
5,17,58,45
5,18,54,42
5,19,50,40
5,20,45,37
5,21,44,36
5,22,41,33
5,23,35,29
6,0,32,28
6,1,32,27
6,2,31,27
6,3,30,27
6,4,31,27
6,5,31,27
6,6,33,28
6,7,34,29
6,8,37,31
6,9,39,32
6,10,41,34
6,11,44,37
6,12,46,37
6,13,51,39
6,14,53,41
6,15,51,41
6,16,49,39
6,17,49,39
6,18,48,39
6,19,50,40
6,20,53,43
6,21,53,42
6,22,48,39
6,23,40,33
7,0,33,28
7,1,32,27
7,2,31,27
7,3,31,28
7,4,30,27
7,5,32,28
7,6,32,28
7,7,36,30
7,8,39,32
7,9,42,34
7,10,46,37
7,11,50,39
7,12,53,41
7,13,56,43
7,14,54,42
7,15,47,39
7,16,46,38
7,17,48,39
7,18,46,38
7,19,46,38
7,20,44,37
7,21,42,35
7,22,37,31
7,23,33,28
