1,0,33
1,1,32
1,2,32
1,3,31
1,4,31
1,5,32
1,6,36
1,7,39
1,8,39
1,9,40
1,10,43
1,11,44
1,12,44
1,13,45
1,14,48
1,15,49
1,16,49
1,17,53
1,18,46
1,19,43
1,20,41
1,21,40
1,22,38
1,23,35
2,0,34
2,1,32
2,2,31
2,3,31
2,4,31
2,5,32
2,6,36
2,7,39
2,8,39
2,9,40
2,10,43
2,11,44
2,12,45
2,13,46
2,14,48
2,15,48
2,16,50
2,17,54
2,18,46
2,19,44
2,20,42
2,21,41
2,22,38
2,23,35
3,0,34
3,1,33
3,2,32
3,3,31
3,4,30
3,5,33
3,6,36
3,7,39
3,8,40
3,9,41
3,10,44
3,11,44
3,12,44
3,13,47
3,14,48
3,15,50
3,16,50
3,17,54
3,18,48
3,19,44
3,20,43
3,21,41
3,22,38
3,23,35
4,0,34
4,1,33
4,2,32
4,3,32
4,4,31
4,5,33
4,6,37
4,7,39
4,8,40
4,9,41
4,10,44
4,11,45
4,12,45
4,13,47
4,14,49
4,15,49
4,16,50
4,17,53
4,18,46
4,19,45
4,20,43
4,21,42
4,22,38
4,23,35
5,0,33
5,1,33
5,2,32
5,3,32
5,4,31
5,5,33
5,6,36
5,7,39
5,8,40
5,9,41
5,10,44
5,11,46
5,12,41
5,13,46
5,14,50
5,15,49
5,16,52
5,17,57
5,18,51
5,19,48
5,20,45
5,21,44
5,22,41
5,23,37
6,0,34
6,1,34
6,2,32
6,3,32
6,4,32
6,5,33
6,6,34
6,7,36
6,8,38
6,9,40
6,10,43
6,11,44
6,12,46
6,13,48
6,14,52
6,15,50
6,16,50
6,17,51
6,18,51
6,19,52
6,20,53
6,21,51
6,22,48
6,23,41
7,0,36
7,1,34
7,2,33
7,3,32
7,4,31
7,5,33
7,6,34
7,7,35
7,8,38
7,9,40
7,10,45
7,11,47
7,12,49
7,13,51
7,14,51
7,15,51
7,16,50
7,17,50
7,18,49
7,19,48
7,20,46
7,21,43
7,22,39
7,23,35
