1,0,42
1,1,40
1,2,37
1,3,36
1,4,36
1,5,38
1,6,47
1,7,55
1,8,54
1,9,57
1,10,63
1,11,66
1,12,64
1,13,69
1,14,72
1,15,73
1,16,77
1,17,78
1,18,67
1,19,61
1,20,57
1,21,54
1,22,49
1,23,45
2,0,42
2,1,40
2,2,37
2,3,36
2,4,35
2,5,37
2,6,47
2,7,55
2,8,55
2,9,56
2,10,62
2,11,63
2,12,65
2,13,71
2,14,71
2,15,71
2,16,76
2,17,79
2,18,67
2,19,63
2,20,59
2,21,55
2,22,50
2,23,45
3,0,42
3,1,40
3,2,37
3,3,36
3,4,34
3,5,38
3,6,49
3,7,56
3,8,56
3,9,58
3,10,63
3,11,65
3,12,64
3,13,70
3,14,73
3,15,73
3,16,79
3,17,82
3,18,69
3,19,63
3,20,59
3,21,59
3,22,51
3,23,46
4,0,42
4,1,41
4,2,37
4,3,37
4,4,36
4,5,38
4,6,48
4,7,56
4,8,55
4,9,58
4,10,63
4,11,66
4,12,66
4,13,71
4,14,74
4,15,72
4,16,77
4,17,78
4,18,68
4,19,64
4,20,61
4,21,57
4,22,51
4,23,46
5,0,42
5,1,42
5,2,39
5,3,37
5,4,36
5,5,39
5,6,48
5,7,56
5,8,57
5,9,59
5,10,64
5,11,68
5,12,57
5,13,71
5,14,75
5,15,74
5,16,82
5,17,85
5,18,74
5,19,69
5,20,66
5,21,61
5,22,57
5,23,49
6,0,44
6,1,42
6,2,40
6,3,38
6,4,40
6,5,41
6,6,45
6,7,49
6,8,53
6,9,57
6,10,63
6,11,65
6,12,70
6,13,73
6,14,79
6,15,76
6,16,76
6,17,76
6,18,76
6,19,76
6,20,77
6,21,75
6,22,66
6,23,57
7,0,47
7,1,43
7,2,40
7,3,39
7,4,38
7,5,39
7,6,44
7,7,46
7,8,52
7,9,56
7,10,65
7,11,70
7,12,73
7,13,76
7,14,78
7,15,77
7,16,74
7,17,73
7,18,71
7,19,68
7,20,66
7,21,60
7,22,52
7,23,46
