1,0,40
1,1,37
1,2,35
1,3,34
1,4,34
1,5,37
1,6,50
1,7,51
1,8,50
1,9,52
1,10,59
1,11,61
1,12,60
1,13,60
1,14,67
1,15,68
1,16,78
1,17,82
1,18,72
1,19,61
1,20,54
1,21,49
1,22,47
1,23,43
2,0,39
2,1,37
2,2,35
2,3,34
2,4,35
2,5,36
2,6,50
2,7,51
2,8,52
2,9,52
2,10,56
2,11,58
2,12,58
2,13,61
2,14,68
2,15,69
2,16,78
2,17,84
2,18,72
2,19,64
2,20,56
2,21,51
2,22,47
2,23,43
3,0,39
3,1,37
3,2,35
3,3,34
3,4,35
3,5,37
3,6,51
3,7,51
3,8,54
3,9,54
3,10,60
3,11,61
3,12,60
3,13,64
3,14,75
3,15,76
3,16,83
3,17,88
3,18,75
3,19,64
3,20,55
3,21,54
3,22,47
3,23,42
4,0,40
4,1,40
4,2,35
4,3,35
4,4,35
4,5,36
4,6,50
4,7,53
4,8,52
4,9,55
4,10,60
4,11,63
4,12,64
4,13,66
4,14,75
4,15,76
4,16,81
4,17,85
4,18,72
4,19,63
4,20,57
4,21,53
4,22,49
4,23,43
5,0,39
5,1,38
5,2,36
5,3,35
5,4,35
5,5,36
5,6,50
5,7,51
5,8,53
5,9,54
5,10,60
5,11,64
5,12,53
5,13,63
5,14,79
5,15,82
5,16,86
5,17,91
5,18,80
5,19,73
5,20,66
5,21,63
5,22,56
5,23,46
6,0,41
6,1,40
6,2,39
6,3,37
6,4,38
6,5,40
6,6,42
6,7,46
6,8,50
6,9,53
6,10,59
6,11,64
6,12,71
6,13,78
6,14,82
6,15,76
6,16,72
6,17,73
6,18,70
6,19,72
6,20,79
6,21,77
6,22,68
6,23,55
7,0,44
7,1,40
7,2,38
7,3,38
7,4,37
7,5,37
7,6,42
7,7,47
7,8,55
7,9,59
7,10,69
7,11,76
7,12,82
7,13,85
7,14,79
7,15,68
7,16,67
7,17,68
7,18,67
7,19,65
7,20,62
7,21,58
7,22,49
7,23,42
